dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,1
09/03/2020,1
10/03/2020,3
11/03/2020,4
12/03/2020,7
13/03/2020,10
14/03/2020,14
15/03/2020,19
16/03/2020,25
17/03/2020,31
18/03/2020,38
19/03/2020,45
20/03/2020,53
21/03/2020,61
22/03/2020,69
23/03/2020,78
24/03/2020,86
25/03/2020,94
26/03/2020,102
27/03/2020,110
28/03/2020,117
29/03/2020,124
30/03/2020,130
31/03/2020,136
01/04/2020,141
02/04/2020,146
03/04/2020,150
04/04/2020,154
05/04/2020,157
06/04/2020,159
07/04/2020,161
08/04/2020,163
09/04/2020,164
10/04/2020,165
11/04/2020,166
12/04/2020,166
13/04/2020,165
14/04/2020,165
15/04/2020,164
16/04/2020,162
17/04/2020,161
18/04/2020,159
19/04/2020,157
20/04/2020,155
21/04/2020,153
22/04/2020,150
23/04/2020,148
24/04/2020,145
25/04/2020,142
26/04/2020,139
27/04/2020,137
28/04/2020,134
29/04/2020,131
30/04/2020,128
01/05/2020,125
02/05/2020,122
03/05/2020,119
04/05/2020,116
05/05/2020,113
06/05/2020,110
07/05/2020,107
08/05/2020,104
09/05/2020,101
10/05/2020,98
11/05/2020,95
12/05/2020,92
13/05/2020,90
14/05/2020,87
15/05/2020,84
16/05/2020,82
17/05/2020,79
18/05/2020,77
19/05/2020,74
20/05/2020,72
21/05/2020,70
22/05/2020,68
23/05/2020,66
24/05/2020,63
25/05/2020,61
26/05/2020,59
27/05/2020,57
28/05/2020,56
29/05/2020,54
30/05/2020,52
31/05/2020,50
01/06/2020,49
02/06/2020,47
03/06/2020,45
04/06/2020,44
05/06/2020,42
06/06/2020,41
07/06/2020,40
08/06/2020,38
09/06/2020,37
10/06/2020,36
11/06/2020,35
12/06/2020,33
13/06/2020,32
14/06/2020,31
15/06/2020,30
16/06/2020,29
17/06/2020,28
18/06/2020,27
19/06/2020,26
20/06/2020,25
21/06/2020,25
22/06/2020,24
23/06/2020,23
24/06/2020,22
25/06/2020,21
26/06/2020,21
27/06/2020,20
28/06/2020,19
29/06/2020,19
30/06/2020,18
01/07/2020,17
02/07/2020,17
03/07/2020,16
04/07/2020,16
05/07/2020,15
06/07/2020,15
07/07/2020,14
08/07/2020,14
09/07/2020,13
10/07/2020,13
11/07/2020,12
12/07/2020,12
13/07/2020,11
14/07/2020,11
15/07/2020,11
16/07/2020,10
17/07/2020,10
18/07/2020,10
19/07/2020,9
20/07/2020,9
21/07/2020,9
22/07/2020,8
23/07/2020,8
24/07/2020,8
25/07/2020,8
26/07/2020,7
27/07/2020,7
28/07/2020,7
29/07/2020,7
30/07/2020,6
31/07/2020,6
